"Questions - (effects assume that people answer ""yes"" to the question) 999=completely random effect",Money,People,Clergy,Army,,"Year 
This Occured 
(estimate)","Historical 
Relevance"
"A British scientist by the name of Chadwick has also observed the link between drinking water and cholera 
but he proposes creating a basic sewage and drainage system. Do you accept?",-7,15,0,3,,,
"The Prussian chancellor, Otto von Bismarck, is promising your kingdom territory if you agree to stay neutral 
during the upcoming Franco-Prussian War. Do you accept?",2,3,-1,2,,,
"You hear news of many other European nations establishing territories in Africa. Do you send in troops to 
conquer new lands for your empire?",999,-1,5,999,,,
"In response to emerging conflicts in the Congo Basin, Bismarck calls 13 European nations to attend the Berlin
Conference and discuss policies on imperialism. Do you send any representatives?",0,2,0,7,,,
"You hear news of Germany forming a defensive alliance with Italy and Austria forming what is known as 
the Triple Alliance. Would you like to join the alliance?",-18,-16,0,-17,,,
"At the end of the global war, your country is given the option of demanding reparations from Germany. 
Do you force Germany to pay up?",4,2,0,-13,,,
"A disgruntled Polish man comes to you after being rejected from art school. Do you allow the man to become 
an artist in your country?",-10,999,0,0,,,
"The new German chancellor, Adolf Hitler, has claimed that the Southern portion of your country contains a
significant German population. Do you allow him to annex this region to avoid conflict?",-8,-7,0,4,,,
"Some of your citizens report to you that during their stay in Germany, they witnessed atrocities being commited
to the German population. Do you intervene immediately rather than waiting for other foreign powers to join you?. ",-14,6,4,-13,,,
"Gary Heisman has announced that he has found a way to harness atomic energy using nothing but tungsten
and cobalt. Do you promote this man to the head of your military?",0,0,0,-19,,,
"You gain intel that an American scientist, Robert Oppenheimer, is developing a new superweapon under the
the secret Manhattan Project. Do you fund his research?",-9,-3,0,21,,,
John wants a divorce. Hehehe?,999,999,999,999,,,
"Your foreign allies ask you attend the Nuremberg Trials in which they plan to convict hundreds of SS officers
of crimes against humanity. Will you attend?",0,4,4,0,,,
"Your domestic constituents ask you to attend their witch trials in order to sentence Lisa and Amy for their
crimes against God and nature. Will you attend?",0,4,4,0,,,
"You notice the Soviet Union has been aggressively expanding the iron curtain across Eastern Europe. Do you
attempt to contain communism through military intervention?",-11,-12,0,-5,,,
"A group of Dutchian scientists suggests that you should create a space program in your country. Do you fund
the space program?",-13,5,0,0,,,
"A group of European nations have formed a new European Economic Community to reduce tariffs between
countries. Do you join the economic union?",999,-1,0,0,,,
